approved_id,status,category,target_item,priority,source,score,title,url,thing_id,license,creator,like_count,make_count,snippet,why_matched,folder_slug,file_formats,source_file_count,printable_file_count,has_step,has_parametric_source,file_notes
58fc8c2699a7,approved,Comms,end insulator,high,thingiverse,12,"Antenna End Insulator (""Dog Bone"" Insulator)",https://www.thingiverse.com/thing:3557913,3557913,,scottmi,205,3,https://cdn.thingiverse.com/assets/e4/6d/70/41/27/pic1h.JPG,target-overlap:2x4; good:antenna; concise-title,antenna_end_insulator_dog_bone_insulator,,,,unknown,unknown,not checked
0d7c4bceb9ad,approved,Comms,end insulator,high,thingiverse,12,Antenna End Insulator,https://www.thingiverse.com/thing:1344851,1344851,,matthewpatt,28,1,https://cdn.thingiverse.com/renders/af/39/8e/f7/07/c423b06c629d94165661036ee1389ee1.png,target-overlap:2x4; good:antenna; concise-title,antenna_end_insulator,,,,unknown,unknown,not checked
e953b708c0a2,approved,Comms,end insulator,high,thingiverse,12,End wire insulator,https://www.thingiverse.com/thing:6335858,6335858,,jetsam62,7,,https://cdn.thingiverse.com/assets/f9/d1/64/b5/97/8ee4cce4-e111-4cd7-bf58-8b4cf163e66e.JPG,target-overlap:2x4; good:wire; concise-title,end_wire_insulator,,,,unknown,unknown,not checked
c62bf74c7638,approved,Comms,end insulator,high,thingiverse,10,Universal End Insulator,https://www.thingiverse.com/thing:2334960,2334960,,Joereed,31,,https://cdn.thingiverse.com/assets/1a/ea/ea/da/c4/DSCN0162.JPG,target-overlap:2x4; concise-title,universal_end_insulator,,,,unknown,unknown,not checked
751106246b35,approved,Comms,guy line tensioner,high,thingiverse,10,RopeSnap - Tent line tensioner,https://www.thingiverse.com/thing:3398911,3398911,,Erbonator3000,390,5,https://cdn.thingiverse.com/assets/e3/32/0b/ca/37/IMG_9915.JPG,target-overlap:2x4; concise-title,ropesnap_tent_line_tensioner,,,,unknown,unknown,not checked
c0fd7cdd764c,approved,Comms,guy line tensioner,high,thingiverse,10,Guy rope tensioner,https://www.thingiverse.com/thing:1318060,1318060,,squbel,65,,https://cdn.thingiverse.com/assets/f0/16/e8/16/be/guy_tensioner.jpg,target-overlap:2x4; concise-title,guy_rope_tensioner,,,,unknown,unknown,not checked
f8e5f98b2520,approved,Comms,guy line tensioner,high,thingiverse,10,Tent Guy Line/Rope Cinch-up,https://www.thingiverse.com/thing:428956,428956,,irocksocksoff,173,4,https://cdn.thingiverse.com/renders/01/45/00/e4/38/20140813_030801.jpg,target-overlap:2x4; concise-title,tent_guy_line_rope_cinch_up,,,,unknown,unknown,not checked
607220a4551e,approved,Greenhouse / Garden,greenhouse clip,high,thingiverse,18,Greenhouse cable clip holder OpenScad,https://www.thingiverse.com/thing:3108591,3108591,,Brian_Norman,46,,https://cdn.thingiverse.com/assets/c2/be/d5/11/7c/IMG_5650.JPG,target-overlap:2x4; good:cable; good:clip; good:greenhouse; good:holder; concise-title,greenhouse_cable_clip_holder_openscad,,,,unknown,unknown,not checked
5980bc2051fd,approved,Greenhouse / Garden,greenhouse clip,high,thingiverse,16,Greenhouse frame clip,https://www.thingiverse.com/thing:850290,850290,,DWO-DAN,40,1,https://cdn.thingiverse.com/renders/de/b0/80/e0/ee/greenhouse_cable_clip.png,target-overlap:2x4; good:cable; good:clip; good:greenhouse; concise-title,greenhouse_frame_clip,,,,unknown,unknown,not checked
9d568e3ad3a3,approved,Greenhouse / Garden,greenhouse clip,high,thingiverse,14,Greenhouse Clip (customizable),https://www.thingiverse.com/thing:4562279,4562279,,MrFuzzy_F,106,,https://cdn.thingiverse.com/assets/db/b6/14/fd/06/0008.jpg,target-overlap:2x4; good:clip; good:greenhouse; concise-title,greenhouse_clip_customizable,,,,unknown,unknown,not checked
